,scenario_id,decision,other_action,action_likelihood,action_entropy,model_id,eval_technique,eval_top_p,eval_temperature
16,H_017,action1,action2,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
17,H_018,action2,action1,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
18,H_019,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
19,H_020,action2,action1,0.9166666666666666,0.2868359828561607,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
20,H_021,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
21,H_022,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
22,H_023,action1,action2,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
23,H_024,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
24,H_025,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
25,H_026,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
26,H_027,action2,action1,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
27,H_028,action1,action2,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
28,H_029,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
29,H_030,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
30,H_031,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
31,H_032,action2,action1,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
32,H_033,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
33,H_034,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
34,H_035,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
35,H_036,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
36,H_037,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
37,H_038,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
38,H_039,action2,action1,0.9166666666666666,0.2868359828561607,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
39,H_040,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
40,H_041,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
41,H_042,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
42,H_043,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
43,H_044,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
44,H_045,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
45,H_046,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
46,H_047,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
47,H_048,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
48,H_049,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
49,H_050,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
50,H_051,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
51,H_052,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
52,H_053,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
53,H_054,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
54,H_055,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
55,H_056,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
56,H_057,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
57,H_058,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
58,H_059,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
59,H_060,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
60,H_061,action1,action2,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
61,H_062,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
62,H_063,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
63,H_064,action2,action1,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
64,H_065,action2,action1,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
65,H_066,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
66,H_067,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
67,H_068,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
68,H_069,action2,action1,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
69,H_070,action2,action1,0.9166666666666666,0.2868359828561607,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
70,H_071,action2,action1,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
71,H_072,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
72,H_073,action2,action1,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
73,H_074,action1,action2,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
74,H_075,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
75,H_076,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
76,H_077,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
77,H_078,action2,action1,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
78,H_079,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
79,H_080,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
80,H_081,action1,action2,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
81,H_082,action2,action1,0.5833333333333334,0.6791932657915257,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
82,H_083,action1,action2,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
83,H_084,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
84,H_085,action1,action2,0.6666666666666666,0.6365141680948128,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
85,H_086,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
86,H_087,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
87,H_088,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
88,H_089,action2,action1,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
89,H_090,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
90,H_091,action1,action2,0.5,0.6931471803599453,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
91,H_092,action1,action2,0.75,0.5623351444188083,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
92,H_093,action2,action1,0.8333333333333334,0.4505612086663046,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
93,H_094,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
94,H_095,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
95,H_096,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
96,H_097,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
97,H_098,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
98,H_099,action2,action1,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
99,H_100,action1,action2,1.0,-1.0000000826903709e-10,anthropic/claude-3-haiku,top_p_sampling,1.0,1.0
